Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
India,468394937262.37,485441014538.64,514937948870.08,607699285433.87,709148514804.66,820381595512.90,940259888792.14,1216736448906.29,1198895147694.77,1341888016988.57,1675615502766.20,1823051829894.55,1827637579584.79,1856721494834.64,2039126469963.35,2103588347241.77,2294796889945.04,2651474263257.15
United States,10250947997000.00,10581929774000.00,10929112955000.00,11456442041000.00,12217193198000.00,13039199193000.00,13815586948000.00,14474226905000.00,14769857911000.00,14478064934000.00,15048964444000.00,15599728123000.00,16253972230000.00,16843190993000.00,17550680174000.00,18206020741000.00,18695110842000.00,19477336549000.00
